comment,music_id
헤어진다음에 들으니 더 마음에 와닿네요 정말 좋은노래입니다 ㅠㅠ,21
노래 좋다,21
좋다,21
잘듣고 가요 웅키님^^저도 오늘 노래 올렸습니다화이팅 하세요~~^^,21
모든 사랑은 당연하거다 왜? 사랑하기 때문이다.,21
후회 하고있어요~ 삼전 풀매한 그순간 ~,21
해축갤 공식곡,21
2:05,21
00:55,21
도진이엄마,21
마제스티 스튜디오 블로그^^https://m.blog.naver.com/majesty0117/222640660847,21
계속듣고싶은명곡이다.23년에도 듣는사람 손들어.ㅋ,21
2022 5월 애잔하게 아직까지도 너무 좋은 음악이다 영원히 좋겠지,21
"Hello Korea, I'm from Vietnam. I know this wonderful song through my Korean brother-in-law who performed it on his wedding.",21
"2021 now, Jae hee , you are still so cool  and a  nice song too",21
명곡!!,21
제 인생곡이에요..진짜,21
들을수록좋아서 2022년도에도 계속듣고있어요,21
노래좋아요  따라불르기도좋네요 ㅎㅎ,21
들어도 들어도 싫지않는노래네요,21
중독성 있는 최애곡,21
무한반복중. 이렇게 좋을수가,21
너무 좋아서 한국말이 다 나오네,21
청곡 겁나많이 들어왔던곡~~잘듣고갑니다,21
아따 2배속하면 개신나네,21
2022년지금들어도행복합니다,21
왤케 와닿지.. 전부다 맞는대 아직은 안된다,21
,21
I love this song #choonyhang,21
 the best song,21
2023년 듣고있는분?,21
임윤찬피아니스트  때문에  오늘 알게된곡,21
2022년도엦들어도좋아요,21
1:00:15,21
You might enjoy this movie too https://www.youtube.com/watch?v=d4nQ8GO4S74,21
부자영상 감사합니다,21
"1박2일에서 김종민이 부른 좋은 노래 들으려고 왔는데, 음질이 왜 카셋테잎 같죠? 감동이 적어요~",21
0:00,21
,21
ㅛ6,21
1:00:14,21
1:00:14,21
1:00:14,21
I love this song very much! Thank you ,21
singing this song makes me tear up a little hahah what a beautiful song,21
지금도 가끔씩 부르긴하는데 젊었을때 기분도 나고 아주 좋네요^^,21
"Here after searching for this song for 3 years, first shown to be by my all time one of a kind kpop boy group SVT (Seventeen). During one of their personal episodes on their channel, singing this song on a karaoke machine...I instantly fell in love with the song, searched high n low to find it & I've finally found it after watching his recent episode of 'Suchwita' with Suga + Jungkook (from BTS)...I thank all my amazing n talented idols for presenting me with all sorts of music",21
간주점프 0:13간주점프 0:13  1절후렴 1:331절후렴 1:33  2절 시작 2:062절 시작 2:06     2절후렴 2:352절후렴 2:35,21
언제 들어도 명곡!!,21
이상하게 다른노래는 잘 안올라가는데 이건 겁나 잘불러짐,21
Just genuinely impressed of the amount of english comments on a typical well-known-among-korean song,21
쾌걸춘향 보고 부르면 감정이입 되어서 더 잘 부르게 됨 ㅋㅋㅋ,21
Lol im a filipino and im so inlove with this song when kriesha chu sung this at kpop star 6,21
고음 높은 노래 아냐? 소화할수있는 사람들 많네..,21
여자지만 키가 안 올라가서 이런 노래가 목 편하고 좋음 ㅎㅎ,21
노래하는 즐거움  TJ미디어 항상  감사합니다 ~^^♡qr코드 찍고  코인노래방가서 마스크쓰고 노래 부르겠습니다 ~^^,21
노래좋다,21
정말멋있군요,21
노래좋다 응급실라이브대박,21
응급실 노래를 부르는 사람은 천재,21
Damn this touches meeeee,21
개 띵곡 조회수 쭉쭉 오르네,21
고딩때 많이 부름 ㅎ,21
딱 부르기 좋은 음이다 ㅎㅎ,21
진짜 나같은 초보들이 연습하기 좋은 곡이다,21
노래짱조음,21
이노래는 ㄹㅇ잘올라가네,21
친구에게불러줫더니너무좋아해요,21
